OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
3681,221210,44000,Los Angeles,Harvard Heights,22121044000Harvard Heights,3861918.324,8418.576146
3682,221220,44000,Los Angeles,Harvard Heights,22122044000Harvard Heights,7097644.795,10529.02607
3683,221302,44000,Los Angeles,Harvard Heights,22130244000Harvard Heights,4974508.498,10183.1467
3684,221303,44000,Los Angeles,Harvard Heights,22130344000Harvard Heights,2518358.744,6486.059598
3685,221304,44000,Los Angeles,Harvard Heights,22130444000Harvard Heights,2446056.998,6306.666115
3686,221401,44000,Los Angeles,West Adams,22140144000West Adams,5837358.088,9623.366088
3687,221402,44000,Los Angeles,West Adams,22140244000West Adams,5729758.439,12853.68339
3688,221500,44000,Los Angeles,West Adams,22150044000West Adams,4098032.479,8382.721262
3689,221601,44000,Los Angeles,West Adams,22160144000West Adams,3981521.37,8298.466579
3690,221602,44000,Los Angeles,West Adams,22160244000West Adams,5627347.692,12004.61513
3691,221710,44000,Los Angeles,West Adams,22171044000West Adams,3530322.599,8106.002362
3692,221810,44000,Los Angeles,University Park,22181044000University Park,3275847.888,7474.736256
3693,221820,44000,Los Angeles,University Park,22182044000University Park,2198588.184,5840.250995
3694,221900,44000,Los Angeles,University Park,22190044000University Park,4413440.278,10667.18537
3695,222001,44000,Los Angeles,Exposition Park,22200144000Exposition Park,5105405.846,9152.352335
3696,222002,44000,Los Angeles,Exposition Park,22200244000Exposition Park,7057913.293,10842.04271
3697,222100,44000,Los Angeles,Adams-Normandie,22210044000Adams-Normandie,5155127.251,10486.76252
3698,222200,44000,Los Angeles,Adams-Normandie,22220044000Adams-Normandie,5186789.13,10532.88422
3699,222500,44000,Los Angeles,Exposition Park,22250044000Exposition Park,7023049.891,10606.56323
3700,222600,44000,Los Angeles,Exposition Park,22260044000Exposition Park,7017416.315,10585.54408
3701,222700,44000,Los Angeles,Exposition Park,22270044000Exposition Park,8798536.486,13589.15544
3702,224010,44000,Los Angeles,Downtown,22401044000Downtown,5279110.602,10296.82321
3703,224010,44000,Los Angeles,Pico-Union,22401044000Pico-Union,3659146.115,8018.753081
3704,224020,44000,Los Angeles,Downtown,22402044000Downtown,8444179.219,15206.42961
3705,224020,44000,Los Angeles,University Park,22402044000University Park,4820208.83,9750.805006
3706,224200,44000,Los Angeles,Pico-Union,22420044000Pico-Union,3962666.958,8643.53899
3707,224310,44000,Los Angeles,Pico-Union,22431044000Pico-Union,1946046.396,6759.473635
3708,224320,44000,Los Angeles,Pico-Union,22432044000Pico-Union,3129192.082,8444.193024
3709,224410,44000,Los Angeles,University Park,22441044000University Park,4880104.053,10535.24591
3710,224420,44000,Los Angeles,University Park,22442044000University Park,3860930.322,8961.556672
3711,224600,44000,Los Angeles,University Park,22460044000University Park,7738219.84,11197.91503
3712,224701,44000,Los Angeles,University Park,22470144000University Park,2534781.657,7580.438063
3713,224702,44000,Los Angeles,University Park,22470244000University Park,4306399.054,9849.86447
